contributor,prs_total,prs_merged,additions_all,deletions_all,changed_lines_all,additions_merged,deletions_merged,changed_lines_merged
dun3aau,2,0,46,41,87,0,0,0
viccar02,0,0,0,0,0,0,0,0
anders-sonderby,0,0,0,0,0,0,0,0
albuter99,0,0,0,0,0,0,0,0
houlie3,0,0,0,0,0,0,0,0
xprafulx,0,0,0,0,0,0,0,0
mehta7408-max,0,0,0,0,0,0,0,0
dhjerresen,0,0,0,0,0,0,0,0
eminagracanin-cloud,0,0,0,0,0,0,0,0
ricendfish,0,0,0,0,0,0,0,0
anzuman-ara389,0,0,0,0,0,0,0,0
malehaafzal10-spec,0,0,0,0,0,0,0,0
maximona-ailee,0,0,0,0,0,0,0,0
signe-dahl,0,0,0,0,0,0,0,0
karolinabohdan,0,0,0,0,0,0,0,0
alexchrander,0,0,0,0,0,0,0,0
maxmahesh-byte,0,0,0,0,0,0,0,0
krsoy,0,0,0,0,0,0,0,0
geert98,0,0,0,0,0,0,0,0
timophilipse,0,0,0,0,0,0,0,0
csmoilis,0,0,0,0,0,0,0,0
yiannisxatzikos2500-design,0,0,0,0,0,0,0,0
ory999,0,0,0,0,0,0,0,0
kristiana098,0,0,0,0,0,0,0,0
